epoch,train_loss,train_accuracy,val_loss,val_accuracy,lr_layer4,lr_fc
1,0.258813,0.897552,0.124232,0.961426,1e-05,0.0001
2,0.101105,0.966318,0.073972,0.979622,1e-05,0.0001
3,0.0616,0.979417,0.048601,0.9869,1e-05,0.0001
4,0.046523,0.985498,0.059284,0.984716,1e-05,0.0001
5,0.0376,0.987837,0.034329,0.991266,1e-05,0.0001
6,0.028655,0.991891,0.022899,0.991994,1e-05,0.0001
7,0.025851,0.99002,0.032788,0.988355,1e-05,0.0001
8,0.022918,0.991112,0.026352,0.991266,1e-05,0.0001
9,0.020269,0.993451,0.029298,0.988355,5e-06,5e-05
10,0.018946,0.994854,0.019939,0.991994,5e-06,5e-05
11,0.016136,0.99501,0.02291,0.990539,5e-06,5e-05
12,0.016347,0.994386,0.016465,0.991994,5e-06,5e-05
13,0.014098,0.995634,0.019418,0.991266,5e-06,5e-05
14,0.013922,0.994854,0.017777,0.991266,5e-06,5e-05
15,0.014232,0.995322,0.021498,0.991994,2.5e-06,2.5e-05
